[2026-03-16 00:30:20] INFO - Device: cuda
[2026-03-16 00:30:20] INFO - Debug mode: False
[2026-03-16 00:30:20] INFO - Variant: ewc
[2026-03-16 00:30:20] INFO - Task sequence: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-16 00:30:21] INFO - Union action space: [0, 1, 3, 4, 11, 12] (6 actions)
[2026-03-16 00:30:23] INFO - Git commit: 600fef3
[2026-03-16 00:30:23] INFO - Task 1 expert checkpoint: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:23] INFO - EWC lambda: 5000.0
[2026-03-16 00:30:23] INFO - Fisher samples: 5000
[2026-03-16 00:30:23] INFO - Online EWC: False
[2026-03-16 00:30:23] INFO - 
============================================================
[2026-03-16 00:30:23] INFO - EWC Task 1/3: BreakoutNoFrameskip-v4
[2026-03-16 00:30:23] INFO - ============================================================
[2026-03-16 00:30:23] INFO - Loading Task 1 from expert: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:24] INFO - Computing Fisher for Task 1...
[2026-03-16 00:32:20] INFO - Post-task checkpoint saved: results/checkpoints/default/ewc_after_task0_Breakout.pt
[2026-03-16 00:32:20] INFO - Task 1 (Breakout) loaded from expert. Fisher computed on 100000 states.
[2026-03-16 00:32:20] INFO - 
============================================================
[2026-03-16 00:32:20] INFO - EWC Task 2/3: SpaceInvadersNoFrameskip-v4
[2026-03-16 00:32:20] INFO - ============================================================
[2026-03-16 00:38:04] INFO - [EWC-SpaceInvaders] Step 109261/3000000 | Ep 680 | Reward: 9.0 | Mean100: 3.2 | Eps: 0.784 | Time: 315s
[2026-03-16 00:38:10] INFO - [EWC-SpaceInvaders] Step 110751/3000000 | Ep 690 | Reward: 2.0 | Mean100: 3.2 | Eps: 0.781 | Time: 322s
[2026-03-16 00:38:16] INFO - [EWC-SpaceInvaders] Step 112131/3000000 | Ep 700 | Reward: 2.0 | Mean100: 3.3 | Eps: 0.778 | Time: 327s
[2026-03-16 00:38:23] INFO - [EWC-SpaceInvaders] Step 113675/3000000 | Ep 710 | Reward: 1.0 | Mean100: 3.2 | Eps: 0.775 | Time: 334s
[2026-03-16 00:38:28] INFO - [EWC-SpaceInvaders] Step 114992/3000000 | Ep 720 | Reward: 0.0 | Mean100: 3.1 | Eps: 0.772 | Time: 340s
[2026-03-16 00:38:33] INFO - [EWC-SpaceInvaders] Step 116156/3000000 | Ep 730 | Reward: 1.0 | Mean100: 3.0 | Eps: 0.770 | Time: 345s
[2026-03-16 00:38:41] INFO - [EWC-SpaceInvaders] Step 117898/3000000 | Ep 740 | Reward: 8.0 | Mean100: 3.1 | Eps: 0.767 | Time: 352s
[2026-03-16 00:38:49] INFO - [EWC-SpaceInvaders] Step 119818/3000000 | Ep 750 | Reward: 2.0 | Mean100: 3.1 | Eps: 0.763 | Time: 361s
[2026-03-16 00:38:57] INFO - [EWC-SpaceInvaders] Step 121493/3000000 | Ep 760 | Reward: 10.0 | Mean100: 3.2 | Eps: 0.759 | Time: 368s
[2026-03-16 00:39:03] INFO - [EWC-SpaceInvaders] Step 122984/3000000 | Ep 770 | Reward: 7.0 | Mean100: 3.2 | Eps: 0.756 | Time: 375s
[2026-03-16 00:39:09] INFO - [EWC-SpaceInvaders] Step 124261/3000000 | Ep 780 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.754 | Time: 380s
[2026-03-16 00:39:16] INFO - [EWC-SpaceInvaders] Step 125861/3000000 | Ep 790 | Reward: 2.0 | Mean100: 2.9 | Eps: 0.751 | Time: 388s
[2026-03-16 00:39:24] INFO - [EWC-SpaceInvaders] Step 127710/3000000 | Ep 800 | Reward: 1.0 | Mean100: 3.1 | Eps: 0.747 | Time: 396s
[2026-03-16 00:39:34] INFO - [EWC-SpaceInvaders] Step 129945/3000000 | Ep 810 | Reward: 5.0 | Mean100: 3.2 | Eps: 0.743 | Time: 405s
[2026-03-16 00:39:41] INFO - [EWC-SpaceInvaders] Step 131553/3000000 | Ep 820 | Reward: 0.0 | Mean100: 3.4 | Eps: 0.740 | Time: 413s
[2026-03-16 00:39:47] INFO - [EWC-SpaceInvaders] Step 132954/3000000 | Ep 830 | Reward: 5.0 | Mean100: 3.4 | Eps: 0.737 | Time: 419s
[2026-03-16 00:39:53] INFO - [EWC-SpaceInvaders] Step 134305/3000000 | Ep 840 | Reward: 0.0 | Mean100: 3.2 | Eps: 0.734 | Time: 425s
[2026-03-16 00:40:00] INFO - [EWC-SpaceInvaders] Step 135829/3000000 | Ep 850 | Reward: 3.0 | Mean100: 3.1 | Eps: 0.731 | Time: 431s
